source,target,weight
#15252a,#803116,10
#15252a,#805040,20
#15252a,#d45124,2
#15252a,#d4856a,14
#15252a,#232a28,13
#15252a,#2a2523,14
#15252a,#6b7b80,5
#15252a,#2a2515,11
#15252a,#807040,13
#15252a,#152a25,10
#15252a,#807b6b,8
#15252a,#b1cbd4,2
#15252a,#d4cbb1,11
#15252a,#151a2a,8
#15252a,#1a152a,2
#15252a,#232a25,5
#15252a,#2a2325,1
#15252a,#2a2328,2
#15252a,#407080,7
#15252a,#d4ba6a,11
#15252a,#806616,4
#15252a,#cbd4b1,2
#15252a,#152a1a,1
#15252a,#2a151a,1
#15252a,#6b807b,1
#15252a,#80706b,4
#15252a,#70806b,1
#15252a,#25232a,3
#15252a,#6abad4,1
#15252a,#25152a,1
#15252a,#708040,2
#15252a,#2a2107,1
#15252a,#d4b1ba,1
#803116,#2a2523,134
#803116,#805040,335
#803116,#807040,212
#803116,#80706b,43
#803116,#807b6b,51
#803116,#07102a,3
#803116,#d45124,112
#803116,#d4856a,195
#803116,#2a151a,63
#803116,#2a1525,7
#803116,#801631,13
#803116,#2a2325,29
#803116,#d4cbb1,188
#803116,#2a2515,133
#803116,#d4ba6a,212
#803116,#2a2107,77
#803116,#806616,110
#803116,#212a07,6
#803116,#407080,8
#803116,#6b7b80,7
#803116,#6b807b,6
#803116,#25152a,5
#803116,#2a0710,20
#803116,#708040,4
#803116,#cbd4b1,14
#803116,#232a28,6
#803116,#151a2a,11
#803116,#252a15,19
#803116,#25232a,10
#803116,#152a25,3
#803116,#1a152a,5
#803116,#2a2328,17
#803116,#70806b,3
#803116,#6abad4,1
#803116,#b1cbd4,4
#803116,#b1d4cb,4
#803116,#806b70,2
#803116,#232a25,4
#803116,#28232a,7
#803116,#152a1a,1
#803116,#405080,2
#803116,#6b7080,2
#803116,#cbb1d4,1
#80706b,#2a2523,820
#80706b,#805040,326
#80706b,#807040,93
#80706b,#807b6b,179
#80706b,#2a2515,23
#80706b,#d4cbb1,266
#80706b,#d4856a,160
#80706b,#806b70,62
#80706b,#d4b1ba,22
#80706b,#2a2325,102
#80706b,#b1cbd4,13
#80706b,#d4ba6a,79
#80706b,#2a2328,41
#80706b,#cbb1d4,6
#80706b,#2a0710,5
#80706b,#2a151a,65
#80706b,#70806b,6
#80706b,#bad4b1,9
#80706b,#25232a,33
#80706b,#28232a,19
#80706b,#6b7080,30
#80706b,#151a2a,12
